UserID,JobID,ApplicationDate
3276,221047,2012-04-06 16:31:26.433
4368,317343,2012-04-05 15:33:31.503
6246,163287,2012-04-02 23:18:53.897
6275,602886,2012-04-03 23:52:20.207
7709,1100531,2012-04-03 10:15:06.46
7709,662314,2012-04-03 10:15:08.26
9445,81261,2012-04-02 12:05:49.2
10303,818044,2012-04-07 22:09:26.43
12679,780,2012-04-17 22:47:53.31
13203,317343,2012-04-06 18:59:31.05
14776,908023,2012-04-02 09:04:58.493
17523,1095737,2012-04-09 18:35:30.897
17523,37301,2012-04-09 18:15:43.58
22300,764108,2012-04-02 19:23:55.65
23502,610518,2012-04-04 07:58:18.367
25522,1076792,2012-04-01 10:09:21.787
25840,316802,2012-04-09 13:01:58.803
26787,81261,2012-04-04 11:37:44.027
32794,194472,2012-04-02 18:43:35.057
32794,243891,2012-04-02 18:53:06.743
35066,306918,2012-04-09 10:21:58.823
35126,264123,2012-04-04 21:06:25.82
36166,908023,2012-04-01 20:59:50.8
37010,916573,2012-04-02 10:22:01.16
38227,908023,2012-04-09 19:16:22.167
39036,766615,2012-04-04 13:58:07.917
40575,378175,2012-04-09 13:10:35.563
43619,147250,2012-04-14 15:48:19.427
43963,658293,2012-04-16 23:00:08.217
44492,494010,2012-04-02 11:52:22.143
45249,576736,2012-04-04 14:41:51.32
45650,378175,2012-04-03 23:31:47.5
47333,786675,2012-04-08 19:43:16.46
49513,164266,2012-04-04 13:23:03.047
50285,300560,2012-04-02 17:14:45.547
57092,630715,2012-04-09 12:59:14.37
57663,25983,2012-04-02 21:03:06.357
57795,864078,2012-04-05 13:06:24.68
58900,317343,2012-04-03 22:27:22.883
59805,1020979,2012-04-06 07:49:53.137
60339,864078,2012-04-02 13:33:03.437
61686,163287,2012-04-03 21:10:56.49
67396,786675,2012-04-03 14:59:33.573
69487,246612,2012-04-02 10:00:13.557
69988,1053173,2012-04-07 18:12:09.753
70000,378440,2012-04-03 22:42:44.727
71846,602886,2012-04-05 13:55:26.8
72725,12034,2012-04-15 21:25:27.017
73560,662314,2012-04-02 14:59:16.773
74366,81261,2012-04-02 17:07:04.003
75967,272940,2012-04-01 19:48:49.133
76468,773778,2012-04-18 21:17:09.85
77970,1068645,2012-04-03 18:25:27.803
78917,264123,2012-04-04 17:11:41.877
81882,780,2012-04-28 06:14:50.76
82386,746779,2012-04-05 23:33:34.133
82430,798393,2012-04-04 23:59:06.96
82856,450775,2012-04-06 15:29:22.947
84378,1053173,2012-04-09 10:57:09.733
84780,163287,2012-04-04 14:31:32.95
85864,221047,2012-04-02 11:36:34.69
88383,602886,2012-04-09 23:30:59.74
88592,71690,2012-04-07 18:29:32.007
89876,606850,2012-04-15 17:49:50.153
91862,1095737,2012-04-09 23:42:26.113
93690,864078,2012-04-04 13:36:16.5
94700,380477,2012-04-17 00:45:52.043
95803,326225,2012-04-04 13:05:43.097
96888,317343,2012-04-05 17:53:59.293
99365,317343,2012-04-03 14:14:42.857
100594,772484,2012-04-06 14:14:21.397
101668,332284,2012-04-01 17:41:54.18
102142,1043033,2012-04-03 19:18:29.36
102877,344818,2012-04-03 10:27:10.147
103527,814988,2012-04-05 22:17:36.753
105307,864078,2012-04-03 14:05:48.05
105307,51959,2012-04-07 06:05:55.063
105874,163287,2012-04-04 18:19:05.947
105874,317343,2012-04-04 18:16:58.677
106485,1081433,2012-04-04 17:43:00.973
107243,786675,2012-04-02 12:51:42.52
107359,300560,2012-04-03 19:40:03.113
107548,555585,2012-04-08 21:04:09.02
107757,627661,2012-04-02 12:10:36.273
110277,773778,2012-04-28 14:02:32.553
113723,511375,2012-04-01 11:46:48.64
116509,35202,2012-04-02 21:09:27.463
117378,868212,2012-04-15 15:55:32.957
117646,190449,2012-04-02 08:08:32.94
118788,1023378,2012-04-08 22:21:32.84
119043,14288,2012-04-01 11:27:23.91
120989,606850,2012-04-17 17:54:35.417
121452,317343,2012-04-02 21:33:50.71
121592,901202,2012-04-02 15:07:10.733
121973,977690,2012-04-05 01:35:38.88
122024,243891,2012-04-01 19:45:29.95
123244,378440,2012-04-07 19:51:52.047
124039,624293,2012-04-01 13:47:13.033
124467,562798,2012-04-09 15:01:28.55
125210,820104,2012-04-01 21:11:31.26
125893,773778,2012-05-01 10:48:37.683
127366,912466,2012-04-01 22:09:39.357
129531,773778,2012-05-01 02:32:43.357
130727,317343,2012-04-03 14:23:53.53
131301,916573,2012-04-09 09:37:46.12
132129,658293,2012-04-03 21:30:42.777
133131,71690,2012-04-09 18:01:21.82
133256,300560,2012-04-04 15:33:18.233
134586,911671,2012-04-03 03:18:33.22
135374,1000688,2012-04-06 20:49:45.967
135731,742882,2012-04-05 09:01:01.283
136013,630715,2012-04-09 16:42:18.63
136198,332284,2012-04-03 12:54:39.073
136555,773778,2012-04-18 13:41:37.123
137176,163287,2012-04-04 16:02:06.047
137422,51408,2012-04-29 14:31:54.92
141037,284143,2012-04-02 12:22:48.03
141241,189188,2012-04-04 11:15:08.683
142473,51959,2012-04-05 21:36:23.607
143235,163287,2012-04-04 10:59:53.683
143331,1081433,2012-04-05 08:27:53.537
148743,317343,2012-04-05 19:28:27.107
149064,864078,2012-04-03 11:23:17.56
149770,12034,2012-04-01 00:42:09.59
149770,367495,2012-04-01 00:42:09.49
152193,317343,2012-04-07 12:41:50.477
152378,367495,2012-04-09 13:35:12.98
152406,731735,2012-04-20 13:44:10.973
154624,1053173,2012-04-04 15:22:44.403
154656,1061009,2012-04-05 13:55:37.523
154711,577906,2012-04-03 19:02:22.427
155637,106690,2012-04-04 00:13:13.543
155984,662314,2012-04-07 17:03:48.71
157145,157374,2012-04-01 21:53:56.193
158118,163287,2012-04-04 20:51:50.6
158148,317343,2012-04-04 08:52:17.563
158333,1100531,2012-04-06 15:20:11.567
158333,662314,2012-04-06 15:20:07.583
159679,630715,2012-04-09 08:16:16.923
159921,284143,2012-04-02 13:03:25.227
164677,229580,2012-04-09 09:02:50.483
165806,912466,2012-04-03 13:11:37.127
168211,912466,2012-04-01 10:54:32.943
168230,1102310,2012-04-04 23:41:21.233
170043,234037,2012-04-06 13:24:39.463
170176,630715,2012-04-08 00:17:29.277
170315,1098393,2012-04-01 21:08:15.15
170567,306918,2012-04-09 10:32:37.28
173096,1059746,2012-04-29 12:45:54.63
173238,163287,2012-04-01 21:39:39.753
174023,146980,2012-04-02 12:10:10.387
174042,416477,2012-04-02 10:12:41.577
176506,317343,2012-04-03 14:37:54.697
176919,1053173,2012-04-01 12:06:20.193
177515,630715,2012-05-01 08:23:12.637
178259,1055644,2012-04-02 13:54:09.647
178837,1085146,2012-04-09 16:06:50.977
179819,189188,2012-04-09 10:10:52.2
180036,602886,2012-04-04 21:21:32.537
181116,864078,2012-04-02 01:23:32.29
183303,1000688,2012-04-09 14:20:21.897
183985,912466,2012-04-06 21:25:06.07
184828,25983,2012-04-09 14:44:20.17
184870,959390,2012-04-02 11:25:35.123
185466,316197,2012-04-14 12:07:15.32
185849,897357,2012-04-21 06:19:31.507
189005,786675,2012-04-09 19:08:52.333
191253,602886,2012-04-14 23:12:08.633
191606,317343,2012-04-05 03:48:33.593
193515,458407,2012-04-16 20:23:56.34
193562,1097647,2012-04-04 11:37:28.103
193965,317343,2012-04-03 13:23:41.983
196521,773778,2012-04-30 14:48:43.357
197578,317343,2012-04-07 20:50:28.963
198413,1013445,2012-04-04 19:36:24.987
198687,916573,2012-04-01 21:02:45.397
199580,599157,2012-04-09 17:48:03.863
201168,150325,2012-04-18 15:28:41.237
201168,1081433,2012-04-01 02:57:07.477
201168,1000688,2012-04-01 03:24:35.237
202944,630715,2012-04-16 12:59:15.023
203198,561913,2012-04-03 20:17:05.783
203822,1020979,2012-04-05 14:44:07.11
204281,12034,2012-04-06 13:58:11.103
207119,849063,2012-04-02 16:14:37.047
207537,1103331,2012-04-20 12:07:01.36
208314,214693,2012-04-08 15:14:41.827
208618,897357,2012-04-19 08:03:53.15
209424,864078,2012-04-02 16:57:25.097
209874,569823,2012-04-16 07:25:22.76
211877,626994,2012-04-03 18:01:35.187
214304,773778,2012-04-27 17:38:15.14
214459,945740,2012-04-05 18:00:25.513
214812,508836,2012-04-05 20:51:29.837
215187,326225,2012-04-06 11:07:50.273
215446,310504,2012-04-09 13:03:06.51
217702,317343,2012-04-03 00:00:16.837
219945,284143,2012-04-04 21:41:15.233
220764,668927,2012-04-05 09:46:03.433
220905,146980,2012-04-02 20:34:23.47
221762,912466,2012-04-09 14:54:55.89
222710,1023378,2012-04-02 18:55:56.5
223298,658293,2012-04-04 18:42:53.147
226113,887239,2012-04-01 15:35:27.207
226417,718482,2012-04-07 09:23:21.633
227544,773778,2012-04-22 15:04:11.163
227584,63084,2012-04-09 17:24:32.063
228362,916573,2012-04-09 12:30:27.703
228502,380347,2012-04-02 18:12:09.57
229637,317343,2012-04-02 18:10:42.453
229637,163287,2012-04-02 18:10:42.723
231813,190183,2012-04-01 13:23:16.747
231985,367495,2012-04-03 17:05:00.553
234345,908023,2012-04-03 23:07:53.283
237743,689222,2012-04-04 11:34:09.907
238974,1053173,2012-04-09 22:27:39.483
239964,317343,2012-04-06 14:15:24.93
240472,818044,2012-04-03 10:55:35.13
240788,317343,2012-04-07 02:49:47.187
241233,317343,2012-04-03 14:52:48.167
244880,959390,2012-04-01 00:46:44.727
246034,576197,2012-04-17 18:50:45.253
248400,1095737,2012-04-08 11:12:07.237
251481,602886,2012-04-03 14:30:43.187
251632,819547,2012-04-01 14:33:39.33
251639,508836,2012-04-03 09:50:19.577
253029,6886,2012-04-01 11:43:04.403
253637,798150,2012-04-09 20:23:32.74
253673,773778,2012-04-15 07:57:48.4
254076,581585,2012-04-20 12:07:42.493
254391,326225,2012-04-04 10:43:23.57
256183,940258,2012-04-03 18:02:54.283
256690,551316,2012-04-03 19:55:49.16
256813,662314,2012-04-01 22:46:52.823
257089,786675,2012-04-02 21:20:09.563
257939,1100531,2012-04-09 17:35:10.657
258326,317343,2012-04-01 16:10:43.35
259016,1065498,2012-04-01 02:15:13.27
264549,602886,2012-04-05 14:20:58.647
265236,31547,2012-04-04 17:47:12.103
265804,908023,2012-04-06 12:27:23.247
266102,163287,2012-04-03 12:37:14.273
266430,1000688,2012-04-07 10:51:43.813
266683,326225,2012-04-02 01:38:38.25
266939,499785,2012-04-02 16:46:26.403
269695,757959,2012-04-08 08:57:51.483
272075,908023,2012-04-09 12:25:44.573
272093,955521,2012-04-09 11:07:39.08
272134,146980,2012-04-06 20:08:10.49
272993,284143,2012-04-03 11:42:03.59
273895,1101966,2012-04-05 18:46:43.857
274258,194472,2012-04-05 14:49:03.553
276897,912466,2012-04-06 14:41:28.177
279655,830654,2012-04-17 20:11:40.817
279766,610518,2012-04-02 13:43:20.397
280044,317343,2012-04-07 10:55:00.093
281473,306918,2012-04-09 22:28:05.43
283145,602886,2012-04-09 01:46:10.407
283206,264123,2012-04-01 09:28:12.047
284290,891254,2012-04-04 09:47:43.367
284368,51959,2012-04-03 12:07:12.76
284991,147250,2012-04-04 17:29:32.507
285048,662314,2012-04-02 00:24:52.46
289357,272940,2012-04-07 03:23:19.397
291519,658293,2012-04-08 16:51:15.263
291881,1015075,2012-04-06 11:54:17.777
291991,1061009,2012-04-03 11:58:44.327
293722,912466,2012-04-01 00:55:52.887
296500,1048596,2012-04-08 18:15:42.673
296500,1097642,2012-04-08 16:36:50.723
296500,317343,2012-04-05 15:12:04.39
296500,271478,2012-04-08 16:33:45.913
296500,1053173,2012-04-08 18:05:47.747
296500,602886,2012-04-08 18:20:29.127
296500,912466,2012-04-08 17:17:41.65
296814,163287,2012-04-04 11:32:44.607
297255,1015075,2012-04-09 10:10:06.907
299002,950710,2012-04-15 14:24:11.823
301110,908023,2012-04-04 22:01:45.253
303104,864078,2012-04-05 01:18:15.81
305879,317343,2012-04-05 11:06:59.6
306720,1097647,2012-04-05 12:58:55.88
310571,942575,2012-04-03 16:57:58.943
317744,190183,2012-04-03 22:07:15.393
322668,214693,2012-04-18 16:33:20.34
323803,317343,2012-04-03 14:33:36.94
324237,630715,2012-04-30 11:02:28.067
324489,1084700,2012-04-01 10:46:12.867
327078,630715,2012-04-09 07:44:17.803
327577,628392,2012-04-09 00:17:55.82
328843,111641,2012-04-01 14:49:18.17
331841,485333,2012-04-04 23:18:49.523
333086,768803,2012-04-09 06:32:17.553
334489,380347,2012-04-05 10:21:21.187
335115,317343,2012-04-06 22:20:13.333
341237,952967,2012-04-03 21:07:09.62
341971,1065498,2012-04-06 14:07:38.95
347241,529681,2012-04-03 02:57:01.537
347515,332284,2012-04-05 14:05:42.407
350962,764108,2012-04-14 06:11:48.06
351561,272940,2012-04-09 08:56:17.573
352959,562798,2012-04-06 13:44:34.217
353772,71690,2012-04-04 18:03:34.103
357663,772938,2012-04-16 21:36:39.29
366518,610518,2012-04-04 06:53:23.02
368005,864078,2012-04-04 00:29:47.177
369529,912466,2012-04-09 16:21:29.26
379548,820104,2012-04-02 18:38:59.987
379942,784140,2012-04-01 21:52:37.873
380363,529681,2012-04-04 14:39:22.103
380811,1095737,2012-04-02 20:46:07.9
380811,610518,2012-04-02 20:30:10.703
380811,602886,2012-04-05 08:16:17.417
381767,380347,2012-04-04 15:25:40.437
382768,378175,2012-04-19 16:25:01.49
383670,602886,2012-04-04 21:16:56.85
383876,397120,2012-04-04 06:37:59.45
385265,770026,2012-04-06 15:11:43.667
385935,897938,2012-04-08 22:33:13.267
386227,1097642,2012-04-03 17:29:41.303
386859,916573,2012-04-02 13:51:37.047
387087,317343,2012-04-07 17:45:35.12
387182,367495,2012-04-05 00:46:48.527
387478,179914,2012-04-03 12:07:37.333
388131,897357,2012-04-01 19:34:48.707
392605,848531,2012-04-02 16:12:38.5
393459,1081433,2012-04-01 14:14:31.217
393669,317343,2012-04-02 19:24:59.953
397265,1015481,2012-04-04 13:25:48.567
398647,602886,2012-04-08 23:37:24.723
399348,930654,2012-04-04 13:57:06.43
406748,1023378,2012-04-14 15:42:58.997
406852,379823,2012-04-03 11:22:00.14
407160,602886,2012-04-09 22:04:53.807
408860,817878,2012-04-17 09:41:04.753
410602,674830,2012-04-09 16:47:51.273
410757,1052496,2012-04-01 18:01:43.093
412446,786675,2012-04-06 11:51:18.643
412515,164266,2012-04-05 20:44:59.65
413040,899185,2012-04-16 00:16:48.12
413405,367495,2012-04-03 09:29:51.093
413619,942575,2012-04-04 21:00:22.063
414027,818044,2012-04-03 01:20:43.96
414456,63084,2012-04-03 03:25:24.49
415147,167055,2012-04-07 17:31:29.863
415524,495461,2012-04-03 09:43:04.847
415664,576736,2012-04-09 21:45:46.727
417205,317343,2012-04-08 01:39:38.47
417702,498891,2012-04-03 20:14:09.31
419430,864078,2012-04-02 15:32:22.493
420222,164266,2012-04-09 15:46:14.287
421390,864078,2012-04-01 04:15:24.477
422173,710907,2012-04-03 09:59:18.393
422456,368258,2012-04-06 13:57:15.66
429751,818044,2012-04-02 13:36:59.393
432589,912466,2012-04-02 23:55:00.353
432589,959390,2012-04-03 00:02:02.153
433226,780,2012-04-17 08:51:50.057
433263,164266,2012-04-04 15:52:30.703
434262,146980,2012-04-03 12:18:58.39
434461,995635,2012-04-03 10:46:48.193
434542,407782,2012-04-03 21:17:43.017
438202,658293,2012-04-07 18:45:45.96
438512,731353,2012-04-04 22:53:30.363
438801,317343,2012-04-05 18:00:38.233
439883,576736,2012-04-02 10:58:55.293
440903,780,2012-04-04 07:51:02.747
441764,908023,2012-04-05 09:45:50.9
442713,480120,2012-04-01 15:35:31.307
444605,864078,2012-04-03 09:22:30.953
444670,264123,2012-04-08 19:26:55.127
444682,811036,2012-04-04 13:03:45.233
444773,317343,2012-04-07 21:32:16.897
445406,764108,2012-04-08 02:20:43.933
447324,36548,2012-04-02 15:33:33.49
447922,576197,2012-04-02 05:16:26.367
447922,1107426,2012-04-15 00:32:43.447
447922,765760,2012-04-03 12:03:47.563
448764,12034,2012-04-09 08:06:58.3
449803,317343,2012-04-03 09:17:59.523
453194,317343,2012-04-06 17:23:19.957
454386,1023378,2012-04-04 18:44:29.077
457099,214693,2012-04-05 22:02:27.567
459774,344818,2012-04-02 16:45:12.443
